Date,Day,Time,Name,Room,Type,kWh,Type,kWh,Rm Total,PC (W),Lighting (W),Total (W)
8/20/2012,Mon,00:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/20/2012,Mon,01:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/20/2012,Mon,02:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/20/2012,Mon,03:00,PC,2,computer_desktop,0.0086,lighting,0,0.0086,8.6,0,8.6
8/20/2012,Mon,04:00,PC,2,computer_desktop,0.0086,lighting,0,0.0086,8.6,0,8.6
8/20/2012,Mon,05:00,PC,2,computer_desktop,0.0086,lighting,0,0.0086,8.6,0,8.6
8/20/2012,Mon,06:00,PC,2,computer_desktop,0.0086,lighting,0,0.0086,8.6,0,8.6
8/20/2012,Mon,07:00,PC,2,computer_desktop,0.0217,lighting,0,0.0217,21.7,0,21.7
8/20/2012,Mon,08:00,PC,2,computer_desktop,0.0192,lighting,0.0411,0.0603,19.2,41.1,60.3
8/20/2012,Mon,09:00,PC,2,computer_desktop,0.0181,lighting,0.0578,0.0759,18.1,57.8,75.9
8/20/2012,Mon,10:00,PC,2,computer_desktop,0.0169,lighting,0.0577,0.0746,16.9,57.7,74.6
8/20/2012,Mon,11:00,PC,2,computer_desktop,0.0291,lighting,0.0579,0.087,29.1,57.9,87
8/20/2012,Mon,12:00,PC,2,computer_desktop,0.0248,lighting,0.0575,0.0823,24.8,57.5,82.3
8/20/2012,Mon,13:00,PC,2,computer_desktop,0.0272,lighting,0.0564,0.0836,27.2,56.4,83.6
8/20/2012,Mon,14:00,PC,2,computer_desktop,0.0114,lighting,0.0564,0.0678,11.4,56.4,67.8
8/20/2012,Mon,15:00,PC,2,computer_desktop,0.0085,lighting,0,0.0085,8.5,0,8.5
8/20/2012,Mon,16:00,PC,2,computer_desktop,0.0126,lighting,0,0.0126,12.6,0,12.6
8/20/2012,Mon,17:00,PC,2,computer_desktop,0.0089,lighting,0,0.0089,8.9,0,8.9
8/20/2012,Mon,18:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/20/2012,Mon,19:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/20/2012,Mon,20:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/20/2012,Mon,21:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/20/2012,Mon,22:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/20/2012,Mon,23:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/21/2012,Tue,00:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/21/2012,Tue,01:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/21/2012,Tue,02:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/21/2012,Tue,03:00,PC,2,computer_desktop,0.0088,lighting,0,0.0088,8.8,0,8.8
8/21/2012,Tue,04:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/21/2012,Tue,05:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/21/2012,Tue,06:00,PC,2,computer_desktop,0.0087,lighting,0,0.0087,8.7,0,8.7
8/21/2012,Tue,07:00,PC,2,computer_desktop,0.0345,lighting,0,0.0345,34.5,0,34.5
8/21/2012,Tue,08:00,PC,2,computer_desktop,0.0387,lighting,0,0.0387,38.7,0,38.7
8/21/2012,Tue,09:00,PC,2,computer_desktop,0.0092,lighting,0.0972,0.1064,9.2,97.2,106.4
8/21/2012,Tue,10:00,PC,2,computer_desktop,0.0088,lighting,0.0562,0.065,8.8,56.2,65
8/21/2012,Tue,11:00,PC,2,computer_desktop,0.0251,lighting,0.0564,0.0815,25.1,56.4,81.5
8/21/2012,Tue,12:00,PC,2,computer_desktop,0.0257,lighting,0.0562,0.0819,25.7,56.2,81.9
